Automation License Manager,V6.0 + SP9 + Upd4,06.00.09.04_01.01.00.03,K6.0.9.4,
S7-PLCSIM,V5.4 + SP8 + Upd2,V05.04.08.02_02.40.00.01,K5.4.8.2,
SIMATIC ProSave,V19.0,V19.00.00.00_68.01.00.03,V19.00.00.00,
SIMATIC S7-Block Privacy Professional 2017 SR2,V1.0 + SP4,K1.0.4.0_9.1.0.1,K1.0.4.0,
SIMATIC S7-GRAPH Professional 2017 SR2,V5.6 + SP2,K5.6.2.0_3.1.0.1,K5.6.2.0,
SIMATIC S7-SCL Professional 2017 SR2,V5.6 + HF1,K5.6.0.1_2.1.0.1,K5.6.0.1,
STEP 7 Professional 2017 SR2,V5.6 + SP2,K5.6.2.0_9.1.0.1,K5.6.2.0,
SIMATIC S7-Web2PLC Professional 2017 SR2,V1.0 + SP3,K1.0.3.0_8.1.0.1,K1.0.3.0,
Automation Access Control Component,4.0,K04.00.01.00_01.01.00.01,---,
SIMATIC Colour Editor,5.2.2.0,K5.2.2.0_2.1.0.1,---,
License Logon Interface,4.0,K04.00.03.00_01.01.00.02,---,
SIEMENS OPC,3.9,03.09.12.02_01.01.00.04,---,
SIMATIC PLCSIM Advanced SimRT,6.0.0.0,V06.00.00.00_68.01.00.03,---,
SIMATIC HMI ProSave,19.0.0.0,V19.00.00.00_68.01.00.03,---,
SIMATIC HMI Symbol Library,17.0.0.6,V17.00.00.06_05.02.00.01,---,
SIMATIC HMI Touch Input,17.0.0.6,V17.00.00.06_05.02.00.01,---,
SIMATIC Version View,1.7.12.0,K1.7.12.0_1.1.0.1,---,
SIMATIC Common Services,5.3.15.0,K5.3.15.0_1.1.0.1,---,
SIMATIC Device Drivers WoW,29.3,29.03.05.00_01.02.00.26,---,
SIMATIC Event Database,5.7,05.07.02.00_01.01.00.01,---,
SIMATIC GRAPH-Visualisierung,5.2.4.0,K5.2.4.0_1.1.0.1,---,
SIMATIC GSD CONTROL,3.5.7.0,K3.5.7.0_2.1.0.1,---,
SIMATIC GSD Interpreter,2.8.2.0,K2.8.2.0_1.1.0.1,---,
SIMATIC Interface Editor,5.4.23.0,K5.4.23.0_2.1.0.1,---,
SIMATIC Extended Interfaces,5.4.7.0,K5.4.7.0_2.1.0.1,---,
SIMATIC LanguageSupportTool,5.8.4.0,K5.8.4.0_2.1.0.1,---,
SIMATIC Condition Editor,5.6.2.0,K5.6.2.0_1.1.0.1,---,
SIMATIC NCM,5.6.2.0,K5.6.2.0_9.1.0.1,---,
SIMATIC Process Diagnosis Base,5.6.2.1,K5.6.2.1_1.1.0.1,---,
SIMATIC Process Diagnosis Database,5.6.2.0,K5.6.2.0_1.1.0.1,---,
SIMATIC DIAGNOSTIC REPEATER GUI CTRL,5.2.3.0,K5.2.3.0_1.1.0.1,---,
SIMATIC Grid Control,2.6.0.0,V2.6.0.0_2.1.0.1,---,
SIMATIC S7-Status-OCX,5.3.14.0,K5.3.14.0_1.1.0.1,---,
SIMATIC Technological Parameter Assignment,5.3.12.0,K5.3.12.0_3.1.0.1,---,
SIMATIC X-Ref Control,5.2.10.0,K5.2.10.0_1.1.0.1,---,
SIMATIC STEP 7 Help Viewer,1.0.4.0,K1.0.4.0_1.1.0.1,---,
SIMATIC SCL Compiler,5.6.0.0,V5.6.0.0_11.1.0.1,---,
SeCon,2.9,V02.09.00.00_01.03.00.01,---,
WinCC Runtime Advanced Simulator,17.0.0.0,V17.00.00.00_43.02.00.01,---,
